edge_id,SRC,TGT,Unix,datetime
e0000001,1,4,1254192988,2009-09-29 02:56:28
e0000002,3,4,1254194656,2009-09-29 03:24:16
e0000003,1,2,1254202612,2009-09-29 05:36:52
e0000004,3,1,1254206196,2009-09-29 06:36:36
e0000005,1,1,1254207602,2009-09-29 07:00:02
e0000006,25,1,1254232804,2009-09-29 14:00:04
e0000007,2,1,1254249757,2009-09-29 18:42:37
e0000008,1,25,1254259818,2009-09-29 21:30:18
e0000009,14,16,1254263166,2009-09-29 22:26:06
e0000010,1,16,1254271421,2009-09-30 00:43:41
e0000011,1,16,1254271943,2009-09-30 00:52:23
e0000012,1,2,1254272026,2009-09-30 00:53:46
e0000013,22,16,1254272423,2009-09-30 01:00:23
e0000014,1,2,1254273043,2009-09-30 01:10:43
e0000015,1,22,1254273152,2009-09-30 01:12:32
e0000016,3,16,1254273303,2009-09-30 01:15:03
e0000017,2,2,1254274128,2009-09-30 01:28:48
e0000018,2,1,1254274810,2009-09-30 01:40:10
e0000019,1,3,1254274939,2009-09-30 01:42:19
e0000020,27,1,1254275440,2009-09-30 01:50:40
e0000021,1,2,1254276270,2009-09-30 02:04:30
e0000022,1,28,1254279260,2009-09-30 02:54:20
e0000023,13,16,1254291078,2009-09-30 06:11:18
e0000024,3,3,1254295235,2009-09-30 07:20:35
e0000025,1,27,1254302991,2009-09-30 09:29:51
e0000026,1,28,1254304365,2009-09-30 09:52:45
e0000027,2,28,1254338815,2009-09-30 19:26:55
e0000028,2,22,1254359146,2009-10-01 01:05:46
e0000029,2,22,1254359210,2009-10-01 01:06:50
e0000030,21,1,1254384983,2009-10-01 08:16:23
e0000031,1,7,1254392595,2009-10-01 10:23:15
e0000032,1,27,1254392913,2009-10-01 10:28:33
e0000033,32,1,1254395022,2009-10-01 11:03:42
e0000034,1,32,1254395565,2009-10-01 11:12:45
e0000035,7,27,1254396925,2009-10-01 11:35:25
e0000036,32,1,1254397771,2009-10-01 11:49:31
e0000037,32,27,1254401224,2009-10-01 12:47:04
e0000038,1,7,1254432016,2009-10-01 21:20:16
e0000039,1,32,1254432642,2009-10-01 21:30:42
e0000040,1,32,1254432924,2009-10-01 21:35:24
e0000041,1450,22,1254436186,2009-10-01 22:29:46
e0000042,37,1,1254436717,2009-10-01 22:38:37
e0000043,37,1,1254437632,2009-10-01 22:53:52
e0000044,32,32,1254440947,2009-10-01 23:49:07
e0000045,1,37,1254441471,2009-10-01 23:57:51
e0000046,1,37,1254442478,2009-10-02 00:14:38
e0000047,32,32,1254443821,2009-10-02 00:37:01
e0000048,1,2,1254444184,2009-10-02 00:43:04
e0000049,22,1450,1254451410,2009-10-02 02:43:30
e0000050,37,1,1254452634,2009-10-02 03:03:54
e0000051,32,1,1254455179,2009-10-02 03:46:19
e0000052,1,32,1254456232,2009-10-02 04:03:52
e0000053,1,37,1254456673,2009-10-02 04:11:13
e0000054,1,32,1254456896,2009-10-02 04:14:56
e0000055,1,37,1254459612,2009-10-02 05:00:12
e0000056,19,16,1254476957,2009-10-02 09:49:17
e0000057,40,2,1254477036,2009-10-02 09:50:36
e0000058,3,32,1254479846,2009-10-02 10:37:26
e0000059,1,40,1254480209,2009-10-02 10:43:29
e0000060,42,2,1254480561,2009-10-02 10:49:21
e0000061,1,42,1254481887,2009-10-02 11:11:27
e0000062,1,42,1254483471,2009-10-02 11:37:51
e0000063,2,32,1254494303,2009-10-02 14:38:23
e0000064,2,32,1254503247,2009-10-02 17:07:27
e0000065,2,37,1254503746,2009-10-02 17:15:46
e0000066,45,3,1254520394,2009-10-02 21:53:14
e0000067,1,32,1254520416,2009-10-02 21:53:36
e0000068,45,32,1254522451,2009-10-02 22:27:31
e0000069,40,7,1254525259,2009-10-02 23:14:19
e0000070,45,44,1254528859,2009-10-03 00:14:19
e0000071,3,45,1254529848,2009-10-03 00:30:48
e0000072,40,42,1254544614,2009-10-03 04:36:54
e0000073,50,27,1254556929,2009-10-03 08:02:09
e0000074,50,16,1254557459,2009-10-03 08:10:59
e0000075,1,37,1254559740,2009-10-03 08:49:00
e0000076,1,21,1254560006,2009-10-03 08:53:26
e0000077,1,44,1254606584,2009-10-03 21:49:44
e0000078,1,2,1254607722,2009-10-03 22:08:42
e0000079,1,44,1254608548,2009-10-03 22:22:28
e0000080,54,44,1254620745,2009-10-04 01:45:45
e0000081,45,45,1254620950,2009-10-04 01:49:10
e0000082,45,44,1254621324,2009-10-04 01:55:24
e0000083,3,56,1254641125,2009-10-04 07:25:25
e0000084,3,2,1254641236,2009-10-04 07:27:16
e0000085,3,50,1254641360,2009-10-04 07:29:20
e0000086,19,44,1254646376,2009-10-04 08:52:56
e0000087,60,32,1254680934,2009-10-04 18:28:54
e0000088,42,40,1254705503,2009-10-05 01:18:23
e0000089,42,1,1254706931,2009-10-05 01:42:11
e0000090,3,3,1254712422,2009-10-05 03:13:42
e0000091,65,2,1254717664,2009-10-05 04:41:04
e0000092,65,4,1254717913,2009-10-05 04:45:13
e0000093,65,2,1254718248,2009-10-05 04:50:48
e0000094,65,3,1254719617,2009-10-05 05:13:37
e0000095,1,2,1254724321,2009-10-05 06:32:01
e0000096,40,42,1254726504,2009-10-05 07:08:24
e0000097,40,2,1254727168,2009-10-05 07:19:28
e0000098,1,44,1254735437,2009-10-05 09:37:17
e0000099,66,65,1254736083,2009-10-05 09:48:03
e0000100,3,66,1254737060,2009-10-05 10:04:20
e0000101,37,65,1254743888,2009-10-05 11:58:08
e0000102,45,1,1254772269,2009-10-05 19:51:09
e0000103,65,2,1254775497,2009-10-05 20:44:57
e0000104,65,2,1254775764,2009-10-05 20:49:24
e0000105,66,1,1254780288,2009-10-05 22:04:48
e0000106,66,3,1254791824,2009-10-06 01:17:04
e0000107,70,65,1254792389,2009-10-06 01:26:29
e0000108,66,56,1254792455,2009-10-06 01:27:35
e0000109,66,45,1254794468,2009-10-06 02:01:08
e0000110,1,45,1254795373,2009-10-06 02:16:13
e0000111,45,45,1254797157,2009-10-06 02:45:57
e0000112,66,1,1254798127,2009-10-06 03:02:07
e0000113,45,44,1254798525,2009-10-06 03:08:45
e0000114,45,1,1254798603,2009-10-06 03:10:03
e0000115,45,19,1254798635,2009-10-06 03:10:35
e0000116,1,45,1254806008,2009-10-06 05:13:28
e0000117,27,50,1254810487,2009-10-06 06:28:07
e0000118,19,19,1254816259,2009-10-06 08:04:19
e0000119,4,2,1254819481,2009-10-06 08:58:01
e0000120,4,65,1254820005,2009-10-06 09:06:45
e0000121,65,75,1254826572,2009-10-06 10:56:12
e0000122,75,65,1254826914,2009-10-06 11:01:54
e0000123,3,1,1254835160,2009-10-06 13:19:20
e0000124,3,45,1254835255,2009-10-06 13:20:55
e0000125,45,78,1254836203,2009-10-06 13:36:43
e0000126,45,45,1254836977,2009-10-06 13:49:37
e0000127,45,1,1254837014,2009-10-06 13:50:14
e0000128,1,45,1254864426,2009-10-06 21:27:06
e0000129,1,1,1254866382,2009-10-06 21:59:42
e0000130,37,66,1254871446,2009-10-06 23:24:06
e0000131,66,37,1254871762,2009-10-06 23:29:22
e0000132,66,83,1254878745,2009-10-07 01:25:45
e0000133,45,1,1254879104,2009-10-07 01:31:44
e0000134,1,71,1254880722,2009-10-07 01:58:42
